episode_id,season,episode,painting_title,colors,subjects,image
S01E01,01,01,A walk in the woods,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","BUSHES,DECIDUOUS,GRASS,RIVER,TREE,TREES",https://www.twoinchbrush.com/images/painting282.webp
S01E02,01,02,Mt mckinley,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","CABIN,CLOUDS,CONIFER,MOUNTAIN,SNOW,SNOWY_MOUNTAIN,TREE,TREES,WINTER",https://www.twoinchbrush.com/images/painting283.webp
S01E03,01,03,Ebony sunset,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","CABIN,CONIFER,FENCE,MOUNTAIN,MOUNTAINS,STRUCTURE,SUN,TREE,TREES,WINTER",https://www.twoinchbrush.com/images/painting284.webp
S01E04,01,04,Winter mist,"Prussian Blue, Titanium White, Van Dyke Brown","BUSHES,CLOUDS,CONIFER,LAKE,MOUNTAIN,SNOWY_MOUNTAIN,TREE,TREES",https://www.twoinchbrush.com/images/painting285.webp
S01E05,01,05,Quiet stream,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","DECIDUOUS,RIVER,ROCKS,TREE,TREES",https://www.twoinchbrush.com/images/painting286.webp
S01E06,01,06,Winter moon,"Black Gesso, Prussian Blue, Titanium White, Van Dyke Brown","CABIN,CONIFER,LAKE,MOON,MOUNTAIN,MOUNTAINS,NIGHT,SNOW,SNOWY_MOUNTAIN,STRUCTURE,TREE,TREES,WINTER",https://www.twoinchbrush.com/images/painting287.webp
S01E07,01,07,Autumn mountains,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","DECIDUOUS,LAKE,MOUNTAIN,MOUNTAINS,SNOWY_MOUNTAIN,TREE,TREES",https://www.twoinchbrush.com/images/painting288.webp
S01E08,01,08,Peaceful valley,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","BUSHES,CONIFER,LAKE,MOUNTAIN,MOUNTAINS,TREE,TREES",https://www.twoinchbrush.com/images/painting289.webp
S01E09,01,09,Seascape,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","CLOUDS,FENCE,OCEAN",https://www.twoinchbrush.com/images/painting290.webp
S01E10,01,10,Mountain lake,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","BUSHES,CONIFER,DECIDUOUS,LAKE,MOUNTAIN,TREE,TREES",https://www.twoinchbrush.com/images/painting291.webp
S01E11,01,11,Winter glow,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","DECIDUOUS,LAKE,TREE,TREES",https://www.twoinchbrush.com/images/painting292.webp
S01E12,01,12,Snowfall,"Alizarin Crimson, Prussian Blue, Titanium White, Van Dyke Brown","CIRRUS,CLOUDS,CONIFER,LAKE,MOUNTAIN,MOUNTAINS,SNOWY_MOUNTAIN,TREE,TREES",https://www.twoinchbrush.com/images/painting293.webp
S01E13,01,13,Final reflections,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","BUSHES,CONIFER,DECIDUOUS,GRASS,MOUNTAIN,SNOWY_MOUNTAIN,TREE,TREES",https://www.twoinchbrush.com/images/painting294.webp
S02E01,02,01,Meadow lake,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES,CONIFER,CUMULUS,DECIDUOUS,GRASS,LAKE,MOUNTAIN,SNOWY_MOUNTAIN,TREE,TREES",https://www.twoinchbrush.com/images/painting269.webp
S02E02,02,02,Winter sun,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CONIFER,LAKE,SNOW,SUN,TREE,TREES",https://www.twoinchbrush.com/images/painting270.webp
S02E03,02,03,Ebony sea,"Alizarin Crimson, Black Gesso, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS,CUMULUS,DECIDUOUS,OCEAN,SUN,TREE,TREES,WAVES",https://www.twoinchbrush.com/images/painting271.webp
S02E04,02,04,Shades of grey,"Prussian Blue, Titanium White, Van Dyke Brown","BUSHES,CABIN,CLOUDS,CONIFER,CUMULUS,DECIDUOUS,LAKE,MOUNTAIN,MOUNTAINS,SNOW,SNOWY_MOUNTAIN,STRUCTURE,TREE,TREES",https://www.twoinchbrush.com/images/painting272.webp
S02E05,02,05,Autumn splendor,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES,DECIDUOUS,GRASS,LAKE,TREE,TREES",https://www.twoinchbrush.com/images/painting273.webp
S02E06,02,06,Black river,"Alizarin Crimson, Black Gesso, Bright Red, Burnt Umber, Cadmium Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES,CLOUDS,CUMULUS,DECIDUOUS,GRASS,RIVER,TREE,TREES",https://www.twoinchbrush.com/images/painting274.webp
S02E07,02,07,Brown mountain,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS,CONIFER,CUMULUS,GRASS,LAKE,MOUNTAIN,MOUNTAINS,TREE,TREES",https://www.twoinchbrush.com/images/painting275.webp
S02E08,02,08,Reflections,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES,CIRRUS,CLOUDS,CONIFER,LAKE,MOUNTAIN,SNOWY_MOUNTAIN,TREE,TREES",https://www.twoinchbrush.com/images/painting276.webp
S02E09,02,09,Black white seascape,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CIRRUS,CUMULUS,DECIDUOUS,OCEAN,ROCKS,SUN,TREE,TREES,WAVES",https://www.twoinchbrush.com/images/painting277.webp
S02E10,02,10,Lazy river,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS,GRASS,RIVER,TREE,TREES",https://www.twoinchbrush.com/images/painting278.webp
S02E11,02,11,Black waterfall,"Alizarin Crimson, Black Gesso, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES,CLOUDS,CONIFER,CUMULUS,DECIDUOUS,GRASS,RIVER,ROCKS,TREE,TREES,WATERFALL",https://www.twoinchbrush.com/images/painting279.webp
S02E12,02,12,Mountain waterfall,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS,GRASS,LAKE,MOUNTAIN,MOUNTAINS,SNOWY_MOUNTAIN,TREE,TREES,WATERFALL",https://www.twoinchbrush.com/images/painting280.webp
S02E13,02,13,Final grace,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES,CLOUDS,CONIFER,CUMULUS,LAKE,MOUNTAIN,MOUNTAINS,SNOWY_MOUNTAIN,TREE,TREES",https://www.twoinchbrush.com/images/painting281.webp
S03E01,03,01,Mountain retreat,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES,CABIN,CONIFER,DECIDUOUS,LAKE,MOUNTAIN,MOUNTAINS,STRUCTURE,TREE,TREES",https://www.twoinchbrush.com/images/painting256.webp
S03E02,03,02,Blue moon,"Alizarin Crimson, Black Gesso, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS,CUMULUS,MOON,NIGHT,OCEAN,PALM_TREES,TREE,TREES,WAVES",https://www.twoinchbrush.com/images/painting257.webp
S03E03,03,03,Bubbling stream,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS,GRASS,RIVER,ROCKS,TREE,TREES",https://www.twoinchbrush.com/images/painting258.webp
S03E04,03,04,Winter night,"Alizarin Crimson, Bright Red, Cadmium Yellow, Liquid Black, Phthalo Green, Titanium White, Van Dyke Brown","CABIN,CONIFER,SNOW,STRUCTURE,TREE,TREES,WINTER",https://www.twoinchbrush.com/images/painting259.webp
S03E05,03,05,Distant hills,"Alizarin Crimson, Burnt Umber, Cadmium Yellow, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CIRRUS,CLOUDS,CONIFER,DECIDUOUS,HILLS,LAKE,MOUNTAIN,MOUNTAINS,TREE,TREES",https://www.twoinchbrush.com/images/painting260.webp
S03E06,03,06,Covered bridge,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS,PATH,STRUCTURE,TREE,TREES",https://www.twoinchbrush.com/images/painting261.webp
S03E07,03,07,Quiet inlet,"Alizarin Crimson, Burnt Umber, Cadmium Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS,LAKE,MOUNTAIN,MOUNTAINS,TREE,TREES",https://www.twoinchbrush.com/images/painting262.webp
S03E08,03,08,Night light,"Alizarin Crimson, Black Gesso, Burnt Umber, Cadmium Yellow, Phthalo Green, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLIFF,CLOUDS,CUMULUS,LIGHTHOUSE,NIGHT,OCEAN,STRUCTURE,WAVES",https://www.twoinchbrush.com/images/painting263.webp
S03E09,03,09,The old mill,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES,CABIN,CLOUDS,CUMULUS,DECIDUOUS,MILL,RIVER,STRUCTURE,TREE,TREES",https://www.twoinchbrush.com/images/painting264.webp
